key,value
code.css.performance.vendorPrefixIssues,0
code.css.quality.duplicateCssRulesCount,0
code.css.quality.unusedCssSelectorsCount,0
code.css.quality.propertyOrderingConsistent,1
code.javascript.loading.noBlockingScriptsInHead,1
code.javascript.loading.asyncOrDeferUsed,1
code.javascript.loading.thirdPartyScriptsLazyLoaded,1
code.javascript.loading.noUnusedModulesLoaded,1
code.javascript.loading.noMarketingTagsInHead,1
code.javascript.loading.userFacingStringsUseI18nKeys,0
code.javascript.loading.noBinariesInRepo,1
code.javascript.loading.errorMessagesFollowPattern,1
code.javascript.dom.noTightDomCoupling,1
code.javascript.dom.noForcedSyncLayoutsInCode,0
code.javascript.dom.timerLeaksCount,0
code.javascript.dom.pollingWithoutObserverCount,0
code.javascript.dom.prefersNativeBrowserApis,1
code.javascript.dom.modernEs6SyntaxUsed,1
code.javascript.state.noMemoryLeakRisks,1
code.javascript.state.eventListenersCleanedUp,0
code.javascript.state.asyncAwaitUsed,1
code.javascript.state.promisesHandledCorrectly,1
code.javascript.state.stateMutationThroughSetters,1
code.javascript.state.noSharedStateMutation,1
code.javascript.state.noSideEffectsInPureFunctions,1
code.javascript.state.consistentReturnTypes,1
code.javascript.state.noStateMutationInLoops,1
code.javascript.structure.globalVariablesCount,0
code.javascript.structure.jsScopedToComponent,1
code.javascript.structure.codingStyleConsistent,1
code.javascript.structure.deeplyNestedCallbacksCount,0
code.javascript.structure.callChainDepthWithinLimit,1
code.javascript.structure.inputValidationPresent,1
code.javascript.structure.noUnreachableCode,1
code.javascript.structure.noEmptyCatchBlocks,0
code.javascript.structure.noUnusedNpmPackages,0
code.javascript.structure.noUnusedComponentProps,1
code.accessibility.wcag.wcag21AAComplianceMet,0
code.accessibility.wcag.dynamicContentChangesAnnounced,0
code.accessibility.components.modalDialogAriaCorrect,1
code.accessibility.components.videoCaptionsPresent,
code.accessibility.components.audioTranscriptsPresent,
code.accessibility.components.noFocusTrapMisuse,1
code.accessibility.css.visibleFocusStylesPresent,1
code.accessibility.css.hoverRulesHaveFocusEquivalent,0
code.accessibility.css.visuallyHiddenPatternCorrect,1
code.security.clientCode.noEvalOrFunctionString,1
code.security.clientCode.noDocumentWrite,1
code.security.clientCode.externalScriptsHaveSri,0
code.security.clientCode.noUnsanitizedInnerHtml,0
code.security.secrets.noHardcodedApiKeys,1
code.security.secrets.noCredentialsInUrls,1
code.security.secrets.noSensitiveDataInComments,1
code.security.secrets.noInsecureStorageForSecrets,0
code.security.secrets.noPiiInStorageWithoutConsent,0
code.security.dependencies.noKnownVulnerableDependencies,0
code.security.input.noSensitiveDataInClientVisibleAttributes,1
code.quality.hygiene.lintErrorsCount,0
code.quality.hygiene.unusedVariablesCount,0
code.quality.hygiene.unusedFunctionsCount,0
code.quality.hygiene.unusedImportsCount,0
code.quality.hygiene.deadCodePathsCount,0
code.quality.hygiene.deadCodeFilesCount,0
code.quality.hygiene.commentedOutCodeCount,0
code.quality.hygiene.implicitGlobalsCount,0
code.quality.hygiene.fileStructureConsistent,1
code.quality.hygiene.duplicateConstantsCount,0
code.quality.readability.variableNamingViolationsCount,0
code.quality.readability.functionNamingViolationsCount,0
code.quality.readability.namingConventionsConsistent,1
code.quality.readability.complexConditionsCount,0
code.quality.readability.missingGuardClausesCount,0
code.quality.readability.oversizedFilesOrFunctionsCount,510
code.quality.readability.singleResponsibilityViolationsCount,0
code.quality.readability.readmePresent,1
code.quality.reliability.inconsistentErrorHandlingCount,0
code.quality.reliability.poorErrorLoggingCount,0
code.quality.reliability.ungracefulErrorsCount,0
code.quality.reliability.magicNumbersCount,0
code.quality.reliability.uncentralizedConstantsCount,0
code.quality.reliability.hardcodedBehaviorCount,0
code.quality.reliability.duplicatedUtilitiesCount,0
code.quality.reliability.duplicateCodePercent,
code.quality.architecture.hardcodedEnvValuesCount,0
code.quality.architecture.circularDependenciesCount,0
code.quality.architecture.staleTodoFixmeCount,0
code.governance.vcs.gitRepositoryInitialized,0
code.governance.vcs.gitignorePresent,1
code.governance.vcs.lockfileCommitted,0
code.governance.quality.preCommitHooksConfigured,0
code.governance.config.nodeVersionSpecified,0
code.governance.genai.noMockDataInProduction,0
manual.discovery.businessObjectivesAndKpisDefined,1
manual.discovery.targetAudienceAndPersonasDefined,1
manual.discovery.cdnProviderAndRepoIdentified,1
manual.discovery.edsAuthoringAndContentRequirementsDefined,1
manual.discovery.edsBlockRequirementsAndStructureDefined,1
manual.discovery.integrationAndMarTechRequirementsDefined,1
manual.discovery.nonFunctionalRequirementsDefined,1
manual.discovery.seoRoutingAndLocalizationDefined,1
manual.design.hldDocumented,1
manual.design.blockAndFragmentDesignComplete,1
manual.design.performanceByDesignGoalsDefined,1
manual.design.responsiveAndAccessibilityStrategyDefined,1
manual.design.seoAndErrorStrategyDesigned,1
manual.setup.cdnConfigured,1
manual.setup.repoAndContentSourceConfigured,1
manual.setup.aemSidekickInstalledAndConfigured,1
manual.setup.ciCdPipelineConfigured,1
manual.setup.devStagingProdEnvironmentsSetUp,1
manual.setup.prProcessAndBranchingStrategyDefined,1
manual.setup.i18nAndTranslationSetup,1
manual.visualDesign.uiMatchesDesignMockupsAtAllViewports,1
manual.visualDesign.brandingAndInteractiveStatesConsistent,1
manual.userExperience.coreUserFlowsIntuitive,1
manual.userExperience.loadingEmptyErrorStatesPresent,1
manual.userExperience.formValidationUxVerified,1
manual.contentQuality.copySpellingGrammarLegalTextVerified,1
manual.contentQuality.cookieConsentMeetsGdprCcpa,1
manual.testing.contentPreviewAndPublishWorkflowValidated,1
manual.testing.functionalAndE2ETestingComplete,1
manual.testing.unitTestsAutomatedInCiCd,1
manual.testing.rumSetUpAndConfigured,1
manual.testing.crossBrowserAndDeviceTestingComplete,1
manual.security.apiEndpointsSecured,1
manual.security.rbacImplemented,1
manual.security.dataEncryptionAndGdprCompliant,1
manual.security.secretsManagementAndPenTestingDone,1
manual.authorValidation.authorTrainingAndSidekickVerified,1
manual.authorValidation.authorWorkflowValidatedInDocsSheets,1
manual.authorValidation.blockUsabilityReviewComplete,1
manual.authorValidation.documentToWebRenderingValidated,1
manual.performance.cdnCachingStrategyValidated,1
manual.performance.rumMonitoringAndAlertsConfigured,1
manual.performance.aboveTheFoldLoadsWithin2500ms,1
manual.accessibility.screenReaderTestingComplete,1
manual.accessibility.keyboardOnlyNavigationTested,1
manual.accessibility.axeWaveToolsRunAndRemediated,1
manual.i18n.rtlLayoutVerified,1
manual.i18n.textExpansionDoesNotBreakLayout,1
manual.i18n.localeFormattingCorrect,1
manual.architectureReview.designTokensMatchFigma,1
manual.architectureReview.webfontStrategyReviewed,1
manual.preGoLive.cdnCachingAndDnsFinalized,1
manual.preGoLive.deploymentAndRollbackPlanCreated,1
manual.preGoLive.previewAndLiveDomainValidated,1
manual.preGoLive.finalE2eSmokeLoadTestingComplete,1
manual.preGoLive.seoLaunchReadinessVerified,1
manual.postGoLive.centralizedLoggingAndAlertsConfigured,1
manual.postGoLive.cwvRumCdnMonitoringSetup,1
manual.postGoLive.authorSupportAndHelpdeskEstablished,1
manual.postGoLive.incidentResponseAndSlasDefined,1
manual.postGoLive.seoIndexingAndAnalyticsMonitored,1
manual.postGoLive.continuousImprovementPlanInPlace,1
manual.governance.projectManagementToolActivelyUsed,1
manual.governance.codeReviewProcessWithSlaDefined,1
manual.governance.qaEnvironmentMirrorsProduction,1
manual.governance.genAiGovernancePolicyDocumented,1
risk.discovery,Low
risk.contentQuality,Low
risk.internationalization,Low
risk.design,Low
risk.userExperience,Low
risk.visualDesign,Low
risk.setup,Low
risk.development,Medium
risk.architectureReview,Low
risk.testing,Low
risk.security,Medium
risk.performance,Low
risk.accessibility,Medium
risk.authorValidation,Low
risk.preGoLive,Low
risk.postGoLive,Low
risk.processGovernance,Medium
status.ragRating,Green
status.goLiveReady,No
status.mandatoryPassRate,80.1
status.criticalPassRate,54.1
status.highPassRate,87.6
status.totalBlockingIssues,37
trend.totalIssues,41
trend.criticalIssues,17
trend.overallCompliance,84.4
trend.accessibilityCompliance,66.7
trend.performanceCompliance,100
trend.securityCompliance,66.7
trend.developmentCompliance,76.1
topIssues.count,10
topIssues.1.auditType,Code Audit
topIssues.1.phase,Development
topIssues.1.group,HTML Forms & Inputs
topIssues.1.subGroup,Forms
topIssues.1.severity,Critical
topIssues.1.mandatory,Yes
topIssues.1.description,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage; error containers use role='alert' or aria-live='assertive'; error text is non-empty and >10 characters
topIssues.1.evidence,"blocks/, scripts"
topIssues.2.auditType,Code Audit
topIssues.2.phase,Development
topIssues.2.group,HTML Media & Data
topIssues.2.subGroup,Images
topIssues.2.severity,Critical
topIssues.2.mandatory,Yes
topIssues.2.description,Alt text is not a filename or path; not generic (image/photo/icon/picture/graphic/banner/logo without qualifier); between 5-125 characters; does not duplicate adjacent text content; does not begin wit
topIssues.2.evidence,"blocks/videolist/videolist.js, blocks/order-now/order-now.js"
topIssues.3.auditType,Code Audit
topIssues.3.phase,Development
topIssues.3.group,HTML Metadata & Validation
topIssues.3.subGroup,Validation
topIssues.3.severity,Critical
topIssues.3.mandatory,Yes
topIssues.3.description,HTML validates without errors
topIssues.3.evidence,head.html
topIssues.4.auditType,Code Audit
topIssues.4.phase,Development
topIssues.4.group,CSS Architecture & Tokens
topIssues.4.subGroup,Design Tokens
topIssues.4.severity,Critical
topIssues.4.mandatory,Yes
topIssues.4.description,No hardcoded hex/rgb color values
topIssues.4.evidence,blocks/ styles/ (grep hex rgb)
topIssues.5.auditType,Code Audit
topIssues.5.phase,Development
topIssues.5.group,Layout & Responsiveness
topIssues.5.subGroup,Responsive
topIssues.5.severity,Critical
topIssues.5.mandatory,Yes
topIssues.5.description,min-width media queries outnumber max-width queries; base styles (outside media queries) target mobile viewport dimensions
topIssues.5.evidence,"styles/, blocks/ (media query count)"
topIssues.6.auditType,Code Audit
topIssues.6.phase,Development
topIssues.6.group,JavaScript DOM & Performance Safety
topIssues.6.subGroup,DOM
topIssues.6.severity,Critical
topIssues.6.mandatory,Yes
topIssues.6.description,Avoid forced synchronous layouts
topIssues.6.evidence,blocks/timelines/timelines.js
topIssues.7.auditType,Code Audit
topIssues.7.phase,Accessibility
topIssues.7.group,Accessibility - WCAG Core
topIssues.7.subGroup,WCAG Core
topIssues.7.severity,Critical
topIssues.7.mandatory,Yes
topIssues.7.description,WCAG 2.1 AA compliance met
topIssues.7.evidence,"blocks/comparison-table/, blocks/teaser/, blocks/links-column"
topIssues.8.auditType,Code Audit
topIssues.8.phase,Security
topIssues.8.group,Security - Client-Side Code
topIssues.8.subGroup,Scripts
topIssues.8.severity,Critical
topIssues.8.mandatory,Yes
topIssues.8.description,No unsanitized user input in innerHTML or dangerous sinks
topIssues.8.evidence,"blocks/content-block/content-block.js, blocks/fragment/fragment.js"
topIssues.9.auditType,Code Audit
topIssues.9.phase,Security
topIssues.9.group,Security - Data & Secrets
topIssues.9.subGroup,Storage
topIssues.9.severity,Critical
topIssues.9.mandatory,Yes
topIssues.9.description,No insecure storage usage (localStorage/sessionStorage/Cookies or other browser storage for secrets)
topIssues.9.evidence,"blocks/header/header.js, scripts/utils.js"
topIssues.10.auditType,Code Audit
topIssues.10.phase,Security
topIssues.10.group,Security - Data & Secrets
topIssues.10.subGroup,Storage
topIssues.10.severity,Critical
topIssues.10.mandatory,Yes
topIssues.10.description,No PII stored in cookies or browser storage without encryption or consent
topIssues.10.evidence,"scripts/utils.js, blocks/header/header.js"
components.count,5
components.1.name,blocks/
components.1.path,blocks/
components.1.failedChecks,9
components.1.criticalFailures,3
components.1.healthScore,71
components.2.name,package.json
components.2.path,package.json
components.2.failedChecks,7
components.2.criticalFailures,3
components.2.healthScore,13
components.3.name,comparison-table.js
components.3.path,blocks/comparison-table/comparison-table.js
components.3.failedChecks,4
components.3.criticalFailures,0
components.3.healthScore,0
components.4.name,styles/
components.4.path,styles/
components.4.failedChecks,4
components.4.criticalFailures,2
components.4.healthScore,43
components.5.name,header.js
components.5.path,blocks/header/header.js
components.5.failedChecks,3
components.5.criticalFailures,2
components.5.healthScore,0
