key,value
code.css.performance.noExpensiveBoxShadows,1
code.css.performance.noHeavyCssFilters,1
code.css.performance.noInfiniteAnimationsOnNonLoaders,1
code.css.performance.cssCompatibilityIssuesCount,0
code.css.performance.vendorPrefixIssues,0
code.css.quality.duplicateCssRulesCount,10
code.css.quality.unusedCssSelectorsCount,0
code.css.quality.propertyOrderingConsistent,0
code.javascript.loading.noBlockingScriptsInHead,1
code.javascript.loading.asyncOrDeferUsed,1
code.javascript.loading.thirdPartyScriptsLazyLoaded,1
code.javascript.loading.noUnusedModulesLoaded,1
code.javascript.loading.noMarketingTagsInHead,1
code.javascript.loading.userFacingStringsUseI18nKeys,0
code.javascript.loading.noBinariesInRepo,1
code.javascript.loading.errorMessagesFollowPattern,0
code.javascript.dom.noTightDomCoupling,0
code.javascript.dom.noForcedSyncLayoutsInCode,0
code.javascript.dom.timerLeaksCount,6000
code.javascript.dom.pollingWithoutObserverCount,0
code.javascript.dom.prefersNativeBrowserApis,1
code.javascript.dom.modernEs6SyntaxUsed,1
code.javascript.state.noMemoryLeakRisks,0
code.javascript.state.eventListenersCleanedUp,0
code.javascript.state.asyncAwaitUsed,1
code.javascript.state.promisesHandledCorrectly,1
code.javascript.state.stateMutationThroughSetters,0
code.javascript.state.noSharedStateMutation,1
code.javascript.state.noSideEffectsInPureFunctions,1
code.javascript.state.consistentReturnTypes,1
code.javascript.state.noStateMutationInLoops,1
code.javascript.structure.globalVariablesCount,0
code.javascript.structure.jsScopedToComponent,1
code.javascript.structure.codingStyleConsistent,1
code.javascript.structure.deeplyNestedCallbacksCount,0
code.javascript.structure.callChainDepthWithinLimit,1
code.javascript.structure.inputValidationPresent,1
code.javascript.structure.noUnreachableCode,1
code.javascript.structure.noEmptyCatchBlocks,1
code.javascript.structure.noUnusedNpmPackages,1
code.javascript.structure.noUnusedComponentProps,1
code.accessibility.wcag.wcag21AAComplianceMet,0
code.accessibility.wcag.dynamicContentChangesAnnounced,1
code.accessibility.components.modalDialogAriaCorrect,0
code.accessibility.components.videoCaptionsPresent,
code.accessibility.components.audioTranscriptsPresent,
code.accessibility.components.noFocusTrapMisuse,1
code.accessibility.css.visibleFocusStylesPresent,1
code.accessibility.css.hoverRulesHaveFocusEquivalent,0
code.accessibility.css.visuallyHiddenPatternCorrect,1
code.security.clientCode.noEvalOrFunctionString,1
code.security.clientCode.noDocumentWrite,1
code.security.clientCode.externalScriptsHaveSri,0
code.security.clientCode.noUnsanitizedInnerHtml,1
code.security.secrets.noHardcodedApiKeys,1
code.security.secrets.noCredentialsInUrls,1
code.security.secrets.noSensitiveDataInComments,1
code.security.secrets.noInsecureStorageForSecrets,1
code.security.secrets.noPiiInStorageWithoutConsent,0
code.security.dependencies.noKnownVulnerableDependencies,0
code.security.input.noSensitiveDataInClientVisibleAttributes,1
code.quality.hygiene.lintErrorsCount,0
code.quality.hygiene.unusedVariablesCount,0
code.quality.hygiene.unusedFunctionsCount,0
code.quality.hygiene.unusedImportsCount,0
code.quality.hygiene.deadCodePathsCount,0
code.quality.hygiene.deadCodeFilesCount,0
code.quality.hygiene.commentedOutCodeCount,4
code.quality.hygiene.implicitGlobalsCount,0
code.quality.hygiene.fileStructureConsistent,0
code.quality.hygiene.duplicateConstantsCount,0
code.quality.readability.variableNamingViolationsCount,0
code.quality.readability.functionNamingViolationsCount,0
code.quality.readability.namingConventionsConsistent,1
code.quality.readability.complexConditionsCount,0
code.quality.readability.missingGuardClausesCount,0
code.quality.readability.oversizedFilesOrFunctionsCount,1691
code.quality.readability.singleResponsibilityViolationsCount,1691
code.quality.readability.readmePresent,1
code.quality.reliability.inconsistentErrorHandlingCount,0
code.quality.reliability.poorErrorLoggingCount,0
code.quality.reliability.ungracefulErrorsCount,0
code.quality.reliability.magicNumbersCount,19
code.quality.reliability.uncentralizedConstantsCount,0
code.quality.reliability.hardcodedBehaviorCount,0
code.quality.reliability.duplicatedUtilitiesCount,0
code.quality.reliability.duplicateCodePercent,1.87
code.quality.architecture.hardcodedEnvValuesCount,9
code.quality.architecture.circularDependenciesCount,10
code.quality.architecture.staleTodoFixmeCount,0
code.governance.vcs.gitRepositoryInitialized,1
code.governance.vcs.gitignorePresent,1
code.governance.vcs.lockfileCommitted,1
code.governance.quality.preCommitHooksConfigured,0
code.governance.config.nodeVersionSpecified,0
code.governance.genai.noMockDataInProduction,1
manual.discovery.businessObjectivesAndKpisDefined,
manual.discovery.targetAudienceAndPersonasDefined,
manual.discovery.cdnProviderAndRepoIdentified,
manual.discovery.edsAuthoringAndContentRequirementsDefined,
manual.discovery.edsBlockRequirementsAndStructureDefined,
manual.discovery.integrationAndMarTechRequirementsDefined,
manual.discovery.nonFunctionalRequirementsDefined,
manual.discovery.seoRoutingAndLocalizationDefined,
manual.design.hldDocumented,
manual.design.blockAndFragmentDesignComplete,
manual.design.performanceByDesignGoalsDefined,
manual.design.responsiveAndAccessibilityStrategyDefined,
manual.design.seoAndErrorStrategyDesigned,
manual.setup.cdnConfigured,
manual.setup.repoAndContentSourceConfigured,
manual.setup.aemSidekickInstalledAndConfigured,
manual.setup.ciCdPipelineConfigured,
manual.setup.devStagingProdEnvironmentsSetUp,
manual.setup.prProcessAndBranchingStrategyDefined,
manual.setup.i18nAndTranslationSetup,
manual.visualDesign.uiMatchesDesignMockupsAtAllViewports,
manual.visualDesign.brandingAndInteractiveStatesConsistent,
manual.userExperience.coreUserFlowsIntuitive,
manual.userExperience.loadingEmptyErrorStatesPresent,
manual.userExperience.formValidationUxVerified,
manual.contentQuality.copySpellingGrammarLegalTextVerified,
manual.contentQuality.cookieConsentMeetsGdprCcpa,
manual.testing.contentPreviewAndPublishWorkflowValidated,
manual.testing.functionalAndE2ETestingComplete,
manual.testing.unitTestsAutomatedInCiCd,
manual.testing.rumSetUpAndConfigured,
manual.testing.crossBrowserAndDeviceTestingComplete,
manual.security.apiEndpointsSecured,
manual.security.rbacImplemented,
manual.security.dataEncryptionAndGdprCompliant,
manual.security.secretsManagementAndPenTestingDone,
manual.authorValidation.authorTrainingAndSidekickVerified,
manual.authorValidation.authorWorkflowValidatedInDocsSheets,
manual.authorValidation.blockUsabilityReviewComplete,
manual.authorValidation.documentToWebRenderingValidated,
manual.performance.cdnCachingStrategyValidated,
manual.performance.rumMonitoringAndAlertsConfigured,
manual.performance.aboveTheFoldLoadsWithin2500ms,
manual.accessibility.screenReaderTestingComplete,
manual.accessibility.keyboardOnlyNavigationTested,
manual.accessibility.axeWaveToolsRunAndRemediated,
manual.i18n.rtlLayoutVerified,
manual.i18n.textExpansionDoesNotBreakLayout,
manual.i18n.localeFormattingCorrect,
manual.architectureReview.designTokensMatchFigma,
manual.architectureReview.webfontStrategyReviewed,
manual.preGoLive.cdnCachingAndDnsFinalized,
manual.preGoLive.deploymentAndRollbackPlanCreated,
manual.preGoLive.previewAndLiveDomainValidated,
manual.preGoLive.finalE2eSmokeLoadTestingComplete,
manual.preGoLive.seoLaunchReadinessVerified,
manual.postGoLive.centralizedLoggingAndAlertsConfigured,
manual.postGoLive.cwvRumCdnMonitoringSetup,
manual.postGoLive.authorSupportAndHelpdeskEstablished,
manual.postGoLive.incidentResponseAndSlasDefined,
manual.postGoLive.seoIndexingAndAnalyticsMonitored,
manual.postGoLive.continuousImprovementPlanInPlace,
manual.governance.projectManagementToolActivelyUsed,
manual.governance.codeReviewProcessWithSlaDefined,
manual.governance.qaEnvironmentMirrorsProduction,
manual.governance.genAiGovernancePolicyDocumented,
risk.discovery,
risk.contentQuality,
risk.internationalization,
risk.design,
risk.userExperience,
risk.visualDesign,
risk.setup,
risk.development,Medium
risk.architectureReview,
risk.testing,
risk.security,Low
risk.performance,Medium
risk.accessibility,High
risk.authorValidation,
risk.preGoLive,
risk.postGoLive,
risk.processGovernance,High
status.ragRating,Amber
status.goLiveReady,No
status.mandatoryPassRate,72.4
status.criticalPassRate,72.9
status.highPassRate,72.8
status.totalBlockingIssues,45
trend.totalIssues,50
trend.criticalIssues,13
trend.overallCompliance,70
trend.accessibilityCompliance,54.5
trend.performanceCompliance,75
trend.securityCompliance,82.6
trend.developmentCompliance,74.6
topIssues.count,10
topIssues.1.auditType,Code Audit
topIssues.1.phase,Development
topIssues.1.group,HTML Forms & Inputs
topIssues.1.subGroup,Forms
topIssues.1.severity,Critical
topIssues.1.mandatory,Yes
topIssues.1.description,All inputs have associated labels
topIssues.1.evidence,blocks/commerce-checkout/canon-shipping.js:184-208
topIssues.2.auditType,Code Audit
topIssues.2.phase,Development
topIssues.2.group,HTML Forms & Inputs
topIssues.2.subGroup,Forms
topIssues.2.severity,Critical
topIssues.2.mandatory,Yes
topIssues.2.description,Error messages programmatically associated with inputs via aria-describedby
topIssues.2.evidence,blocks/commerce-checkout/canon-shipping.js:87-98
topIssues.3.auditType,Code Audit
topIssues.3.phase,Development
topIssues.3.group,HTML Metadata & Validation
topIssues.3.subGroup,IDs
topIssues.3.severity,Critical
topIssues.3.mandatory,Yes
topIssues.3.description,No duplicate IDs
topIssues.3.evidence,"blocks/commerce-mini-cart/commerce-mini-cart.js:121, blocks/commerce-cart/commerce-cart.js:145"
topIssues.4.auditType,Code Audit
topIssues.4.phase,Development
topIssues.4.group,CSS Architecture & Tokens
topIssues.4.subGroup,Design Tokens
topIssues.4.severity,Critical
topIssues.4.mandatory,Yes
topIssues.4.description,CSS variables used for all colors (43 hardcoded hex/rgb values)
topIssues.4.evidence,"blocks/pdp-tabs/pdp-tabs.css, blocks/hero/hero.css"
topIssues.5.auditType,Code Audit
topIssues.5.phase,Development
topIssues.5.group,JavaScript DOM & Performance Safety
topIssues.5.subGroup,DOM
topIssues.5.severity,Critical
topIssues.5.mandatory,Yes
topIssues.5.description,Avoid forced synchronous layouts
topIssues.5.evidence,blocks/product-details/product-details.js:1406-1415
topIssues.6.auditType,Code Audit
topIssues.6.phase,Development
topIssues.6.group,JavaScript State & Reliability
topIssues.6.subGroup,Async
topIssues.6.severity,Critical
topIssues.6.mandatory,Yes
topIssues.6.description,Avoid memory leaks — window event listeners not cleaned up
topIssues.6.evidence,"blocks/product-details/product-details.js:926-933, blocks/header/header.js:631,690"
topIssues.7.auditType,Code Audit
topIssues.7.phase,Accessibility
topIssues.7.group,Accessibility - WCAG Core
topIssues.7.subGroup,WCAG Core
topIssues.7.severity,Critical
topIssues.7.mandatory,Yes
topIssues.7.description,WCAG 2.1 AA compliance met — confirmed violations
topIssues.7.evidence,"Rows 3, 6, 7, 9"
topIssues.8.auditType,Code Audit
topIssues.8.phase,Security
topIssues.8.group,Security - Data & Secrets
topIssues.8.subGroup,Storage
topIssues.8.severity,Critical
topIssues.8.mandatory,Yes
topIssues.8.description,Consent management stub — getConsent always returns true
topIssues.8.evidence,scripts/commerce.js:811-813
topIssues.9.auditType,Code Audit
topIssues.9.phase,Security
topIssues.9.group,Security - Dependencies
topIssues.9.subGroup,Dependencies
topIssues.9.severity,Critical
topIssues.9.mandatory,Yes
topIssues.9.description,"35 npm vulnerabilities (5 critical, 13 high — all indirect)"
topIssues.9.evidence,npm audit
topIssues.10.auditType,Browser Audit
topIssues.10.phase,Accessibility
topIssues.10.group,Accessibility - WCAG Core
topIssues.10.subGroup,WCAG Core
topIssues.10.severity,High
topIssues.10.mandatory,Yes
topIssues.10.description,No skip links implemented on any page
topIssues.10.evidence,https://main--canon-b2b-eds--magento-ecg-team.aem.live/
components.count,5
components.1.name,styles.css
components.1.path,styles/styles.css
components.1.failedChecks,2
components.1.criticalFailures,0
components.1.healthScore,0
components.2.name,product-details.js:926-933
components.2.path,blocks/product-details/product-details.js:926-933
components.2.failedChecks,2
components.2.criticalFailures,1
components.2.healthScore,0
components.3.name,header.js:631
components.3.path,blocks/header/header.js:631
components.3.failedChecks,2
components.3.criticalFailures,1
components.3.healthScore,0
components.4.name,commerce-checkout.js:492-495
components.4.path,blocks/commerce-checkout/commerce-checkout.js:492-495
components.4.failedChecks,2
components.4.criticalFailures,0
components.4.healthScore,0
components.5.name,product-details.js
components.5.path,blocks/product-details/product-details.js
components.5.failedChecks,2
components.5.criticalFailures,0
components.5.healthScore,50
